method,eval_num,f1,cfg_lookback_days,cfg_min_complaints,cfg_class_weight_ratio,cfg_threshold,cfg_feature_subset,cfg_model_type,cfg_text_features,cfg_control_match_ratio,meta_n,meta_n_pos,meta_n_neg,meta_n_train,meta_n_test,meta_n_feat,meta_precision,meta_recall,meta_model,meta_elapsed
BO,40,0.875,156.3644956859128,69,17.59086038241183,0.8999999761581421,1,0,0,5,145,26,119,101,44,10,0.875,0.875,logistic_regression,2.5492396354675293
BO,41,0.75,156.60743159069477,69,16.975720349291073,0.10000000149011612,3,2,0,5,145,26,119,101,44,17,0.75,0.75,gradient_boosted_trees,3.10762095451355
BO,42,0.6153846153846154,156.43828937428736,69,17.951986560156428,0.7272961618642433,1,2,0,2,76,26,50,53,23,10,0.8,0.5,gradient_boosted_trees,1.237361192703247
BO,43,0.875,156.43229776322536,69,17.9518756751079,0.6563616060386186,1,2,1,2,76,26,50,53,23,10,0.875,0.875,gradient_boosted_trees,1.1640369892120361
BO,44,0.8235294117647058,156.32097404617872,69,18.310157593656637,0.8999999761581421,0,0,1,3,100,26,74,70,30,6,0.7777777777777778,0.875,logistic_regression,1.5613267421722412
BO,45,0.7777777777777778,156.4899506312842,69,17.764917367437278,0.7642160877370162,1,2,1,2,76,26,50,53,23,10,0.7,0.875,gradient_boosted_trees,1.0997803211212158
BO,46,0.8235294117647058,156.41429178157304,69,18.13305471886053,0.6284777077242725,3,2,1,5,145,26,119,101,44,19,0.7777777777777778,0.875,gradient_boosted_trees,2.3091907501220703
BO,47,0.625,156.42129458005687,69,18.106350214294846,0.6239720318194295,0,2,1,5,145,26,119,101,44,6,0.625,0.625,gradient_boosted_trees,2.3941092491149902
BO,48,0.9411764705882353,156.38891501489283,69,17.89934859219837,0.675950856838431,1,2,1,3,100,26,74,70,30,10,0.8888888888888888,1.0,gradient_boosted_trees,1.8618755340576172
Random,1,0.3157894736842105,535.7402787826314,32,5.310177617719859,0.541051815266313,3,2,1,2,109,37,72,76,33,19,0.375,0.2727272727272727,gradient_boosted_trees,1.8905866146087646
Random,2,0.0,708.8882753146988,76,18.971832223249685,0.5493725098624785,2,1,1,2,97,33,64,67,30,15,0.0,0.0,random_forest,2.044823408126831
Random,3,0.8,104.31884460250686,97,14.24761924147281,0.644171842299445,1,2,1,1,39,20,19,27,12,10,0.6666666666666666,1.0,gradient_boosted_trees,0.6045513153076172
Random,4,0.7692307692307693,160.65642261041205,17,1.2938832704950762,0.31085336411198244,1,2,1,3,136,35,101,95,41,10,0.6666666666666666,0.9090909090909091,gradient_boosted_trees,2.5973165035247803
Random,5,0.29508196721311475,436.9236303367234,83,14.614089829321697,0.2755624650640244,0,0,1,5,171,31,140,119,52,6,0.17307692307692307,1.0,logistic_regression,3.2708771228790283
Random,6,0.5128205128205128,481.2000987782129,16,12.17085581488438,0.7881774562259353,2,0,0,3,160,41,119,112,48,15,0.37037037037037035,0.8333333333333334,logistic_regression,2.5045223236083984
Random,7,0.2222222222222222,363.8846443511931,40,12.304441247003862,0.8094825173520601,0,2,1,3,128,33,95,89,39,6,0.25,0.2,gradient_boosted_trees,1.8888039588928223
Random,8,0.4782608695652174,542.0890466280568,39,5.870884650672564,0.48662726185043115,1,0,1,3,136,35,101,95,41,10,0.3142857142857143,1.0,logistic_regression,2.17696213722229
Random,9,0.5,226.0742820975321,62,17.14355429916753,0.7510678965599176,0,0,1,2,79,27,52,55,24,6,0.3333333333333333,1.0,logistic_regression,1.255396842956543
Random,10,0.5806451612903226,635.3524188525013,22,6.778794067530817,0.5948295516979359,0,2,1,1,85,43,42,59,26,6,0.5,0.6923076923076923,gradient_boosted_trees,1.4517111778259277
Random,11,0.6,674.8604963502403,73,5.985752811780568,0.5213621599502497,0,2,1,1,67,34,33,46,21,6,0.6666666666666666,0.5454545454545454,gradient_boosted_trees,1.4213266372680664
Random,12,0.125,392.24566574018326,58,12.61301240872441,0.7689924583182436,2,2,0,5,182,32,150,127,55,15,0.16666666666666666,0.1,gradient_boosted_trees,2.9824280738830566
Random,13,0.6666666666666666,150.4720260858864,25,5.9510997426838586,0.16135832535737685,2,1,1,3,128,33,95,89,39,15,0.5714285714285714,0.8,random_forest,1.7437899112701416
Random,14,0.43137254901960786,651.506829619974,59,8.897056476383575,0.2430757026271551,0,0,1,3,133,35,98,93,40,6,0.275,1.0,logistic_regression,2.900456190109253
Random,15,0.4230769230769231,720.6142814628479,30,11.171614748035399,0.1507106864539267,0,1,1,3,159,41,118,111,48,6,0.275,0.9166666666666666,random_forest,2.6230101585388184
Random,16,0.625,436.5412142632839,85,13.258615818571426,0.8044545981773884,0,2,1,2,90,31,59,63,27,6,0.7142857142857143,0.5555555555555556,gradient_boosted_trees,1.9035120010375977
Random,17,0.0,356.88122056258135,39,15.466825483764307,0.8609257288037172,3,1,0,1,67,34,33,46,21,17,0.0,0.0,random_forest,0.9980535507202148
Random,18,0.6206896551724138,702.655259933012,10,17.022482794186534,0.8524614626026572,1,2,1,1,91,46,45,63,28,10,0.6,0.6428571428571429,gradient_boosted_trees,0.9217498302459717
Random,19,0.40816326530612246,714.4608457798286,89,9.23183627488551,0.13606964204570132,2,0,0,3,127,33,94,88,39,15,0.2564102564102564,1.0,logistic_regression,2.6856424808502197
Random,20,0.23529411764705882,207.4992783742303,17,14.664466862167288,0.18724130551465556,1,2,1,5,200,35,165,140,60,10,0.16666666666666666,0.4,gradient_boosted_trees,2.220900058746338
Random,21,0.4,257.8522816557683,67,10.18236708749092,0.8974179995304826,3,2,0,2,76,26,50,53,23,17,1.0,0.25,gradient_boosted_trees,1.303347110748291
Random,22,0.42857142857142855,443.8823438256177,68,9.806624544864203,0.2901991041633841,2,2,1,3,127,33,94,88,39,15,0.3333333333333333,0.6,gradient_boosted_trees,2.421830892562866
Random,23,0.0,486.5635712729443,79,15.953153638823315,0.881925702379849,2,1,0,2,94,32,62,65,29,15,0.0,0.0,random_forest,1.8462510108947754
Random,24,0.2692307692307692,226.88311185528016,26,19.231126312007667,0.32215526201921235,3,0,0,5,188,33,155,131,57,17,0.16666666666666666,0.7,logistic_regression,2.2596375942230225
Random,25,0.0,316.19569698006853,69,6.614835966584936,0.8044047909344034,2,2,0,3,116,30,86,81,35,15,0.0,0.0,gradient_boosted_trees,2.097003221511841
Random,26,0.4,610.3763207086101,93,17.889043812677365,0.2565189203056509,3,2,1,3,116,30,86,81,35,19,0.3125,0.5555555555555556,gradient_boosted_trees,2.1569035053253174
Random,27,0.23529411764705882,665.9868864648685,36,4.70985857185423,0.4736155559840707,0,2,0,2,114,39,75,79,35,6,0.4,0.16666666666666666,gradient_boosted_trees,2.0997402667999268
